ball_size_mean_r1,ball_size_mean_r2,ball_size_mean_r3,ball_size_std_r1,ball_size_std_r2,ball_size_std_r3,edge_count,forman_count,forman_mean,forman_near_zero_mass,forman_negative_mass,forman_positive_mass,forman_q05,forman_q50,forman_q95,forman_std,node_count,ollivier_count,ollivier_mean,ollivier_near_zero_mass,ollivier_negative_mass,ollivier_positive_mass,ollivier_q05,ollivier_q50,ollivier_q95,ollivier_std,record_id,row_index,source_file,task_id,view
2.984251968503937,6.496062992125984,11.771653543307087,1.2485219732204296,2.969328818744611,4.849204783216941,126,126,-1.5396825396825398,0.015873015873015872,0.8492063492063492,0.1349206349206349,-4.0,-1.0,1.0,1.5566080016007622,127,126,-0.332010582010582,0.5555555555555556,0.4444444444444444,0.0,-1.0,0.0,0.0,0.4128107464808382,task-00:0,0,task-00.csv,0,ast
2.9726027397260273,6.506849315068493,11.438356164383562,1.271097064072553,2.8912872787011294,5.031370905450663,72,72,-1.5833333333333333,0.027777777777777776,0.8194444444444444,0.1527777777777778,-4.0,-1.0,1.0,1.6308654825650772,73,72,-0.3125,0.5555555555555556,0.4444444444444444,0.0,-1.0,0.0,0.0,0.3917922375537925,task-01:0,0,task-01.csv,1,ast
2.9791666666666665,6.458333333333333,12.395833333333334,1.2414639096199651,3.738640201404189,7.738538792232607,95,95,-1.5157894736842106,0.06315789473684211,0.7157894736842105,0.22105263157894736,-6.0,-1.0,1.0,2.025433847714643,96,95,-0.3526315789473684,0.5052631578947369,0.49473684210526314,0.0,-1.0476190476190474,0.0,0.0,0.40548063472225987,task-02:0,0,task-02.csv,2,ast
2.9696969696969697,6.212121212121212,10.909090909090908,1.1543028457418734,2.9311035852954537,5.180754808488328,65,65,-1.2923076923076924,0.07692307692307693,0.7538461538461538,0.16923076923076924,-4.0,-1.0,1.0,1.5163019480410675,66,65,-0.3153846153846153,0.5384615384615384,0.46153846153846156,0.0,-1.0,0.0,0.0,0.3824382827400964,task-03:0,0,task-03.csv,3,ast
2.986111111111111,6.680555555555555,14.152777777777779,1.317542488831591,4.739978870349321,11.18053830226412,143,143,-1.7202797202797202,0.04195804195804196,0.7272727272727273,0.23076923076923078,-9.0,-1.0,1.0,2.7262146055662453,144,143,-0.35547785547785543,0.5034965034965035,0.4965034965034965,0.0,-1.163333333333333,0.0,0.0,0.4228505048263748,task-04:0,0,task-04.csv,4,ast
2.9914529914529915,6.7094017094017095,12.94017094017094,1.3204229217317613,3.8175479422819314,8.825749621478952,233,233,-1.7339055793991416,0.05150214592274678,0.7639484978540773,0.18454935622317598,-6.0,-1.0,1.0,2.027178154493262,234,233,-0.3329041487839771,0.5708154506437768,0.4291845493562232,0.0,-1.18,0.0,0.0,0.4274385083980698,task-05:0,0,task-05.csv,5,ast
2.986013986013986,7.671328671328672,17.503496503496503,1.6513864231867448,7.033164418036592,16.674956778914275,142,142,-2.7183098591549295,0.0,0.7464788732394366,0.2535211267605634,-16.0,-1.0,1.0,5.0061457964159635,143,142,-0.35998342999171495,0.5,0.5,0.0,-1.2156862745098036,-0.16666666666666663,0.0,0.4247938102524057,task-06:0,0,task-06.csv,6,ast
2.975,6.125,11.1,1.1065147988165365,3.143942588534339,5.85576638878294,79,79,-1.1898734177215189,0.10126582278481013,0.6582278481012658,0.24050632911392406,-4.1,-1.0,1.0,1.7723327213354063,80,79,-0.3312236286919831,0.45569620253164556,0.5443037974683544,0.0,-1.0,-0.33333333333333326,0.0,0.3592201966884854,task-07:0,0,task-07.csv,7,ast
2.986666666666667,7.32,15.013333333333334,1.5405049677153124,4.430680910800656,7.911162296963,149,149,-2.3624161073825505,0.087248322147651,0.7919463087248322,0.12080536912751678,-9.0,-1.0,1.0,3.0635654209759604,150,149,-0.3209516061865054,0.5838926174496645,0.4161073825503356,0.0,-1.2777777777777777,0.0,2.220446049250313e-16,0.44706131069692756,task-08:0,0,task-08.csv,8,ast
2.990521327014218,6.62085308056872,13.739336492890995,1.287896706754962,4.876517018282569,12.313569655628855,210,210,-1.6476190476190475,0.06666666666666667,0.6714285714285714,0.2619047619047619,-11.0,-1.0,1.0,3.1365159694004197,211,210,-0.35152625152625144,0.44761904761904764,0.5523809523809524,0.0,-1.0476190476190474,-0.33333333333333326,0.0,0.38263281492820983,task-09:0,0,task-09.csv,9,ast
2.994708994708995,7.841269841269841,17.8994708994709,1.6918646126971486,6.587320711389337,16.37395175320695,377,377,-2.859416445623342,0.03713527851458886,0.7320954907161804,0.23076923076923078,-15.0,-1.0,1.0,4.685195678454202,378,377,-0.35823114663807437,0.5251989389920424,0.47480106100795755,0.0,-1.208333333333333,0.0,0.0,0.4407451994236565,task-10:0,0,task-10.csv,10,ast
