bin_feature,bin_number,feature_max,feature_min,feature_set,mean_map_delta,n_queries,positive_map_delta_fraction,sd_map_delta
length_scale,1,8.94324493313279,6.396929655216146,branching,0.0006412900516922672,338,0.24260355029585798,0.0028797307588116477
length_scale,2,9.599811590329999,8.965973184210347,branching,-0.0003858225923202081,326,0.12269938650306748,0.0030673382648722714
length_scale,3,10.2299816007733,9.616205400105674,branching,-0.00026557585416482615,330,0.14545454545454545,0.0025158363478815222
length_scale,4,11.038913814326953,10.241957791820013,branching,-6.494367377120358e-05,327,0.18654434250764526,0.002244598977326269
length_scale,5,14.624439662179762,11.04691385699403,branching,0.0001612531453592214,329,0.16717325227963525,0.0027358852277754807
branching_entropy,1,1.7319951248470982,1.4147730206197493,branching,-0.0003584734005955615,331,0.11178247734138973,0.002169708986438598
branching_entropy,2,1.796215140701297,1.732012866191389,branching,-1.500895884886216e-05,330,0.15757575757575756,0.0023986883576361594
branching_entropy,3,1.8538383921868513,1.796706343769188,branching,0.00033548487423205094,330,0.20909090909090908,0.0031309996293915005
branching_entropy,4,1.8968561940643975,1.8538635514598722,branching,0.0002925967401321358,330,0.20606060606060606,0.0022630322167586465
branching_entropy,5,1.968446938459148,1.8968927752189146,branching,-0.00014743385021799438,329,0.182370820668693,0.003395211180924972
length_scale,1,8.94324493313279,6.396929655216146,length_only,0.02205035506405688,338,0.6863905325443787,0.06516812771775267
length_scale,2,9.599811590329999,8.965973184210347,length_only,-0.00041914085177039085,326,0.3374233128834356,0.045414678233441384
length_scale,3,10.2299816007733,9.616205400105674,length_only,0.006702329456564696,330,0.6181818181818182,0.06717411056577367
length_scale,4,11.038913814326953,10.241957791820013,length_only,0.02963431254655968,327,0.7767584097859327,0.05829059924520763
length_scale,5,14.624439662179762,11.04691385699403,length_only,0.07756677900187374,329,0.7750759878419453,0.11105410392544689
branching_entropy,1,1.7319951248470982,1.4147730206197493,length_only,-0.004831440814817888,331,0.4471299093655589,0.05112872746810153
branching_entropy,2,1.796215140701297,1.732012866191389,length_only,0.004062485072437772,330,0.47878787878787876,0.0523198722742888
branching_entropy,3,1.8538383921868513,1.796706343769188,length_only,0.023677005278740518,330,0.6454545454545455,0.07444562533954285
branching_entropy,4,1.8968561940643975,1.8538635514598722,length_only,0.05107216931578414,330,0.7545454545454545,0.09860263877694476
branching_entropy,5,1.968446938459148,1.8968927752189146,length_only,0.061791484889328334,329,0.8723404255319149,0.07970950179696903
length_scale,1,8.94324493313279,6.396929655216146,shape,0.015590074676015928,338,0.7130177514792899,0.032143317020574304
length_scale,2,9.599811590329999,8.965973184210347,shape,-0.004087765489892233,326,0.3987730061349693,0.023984201485136372
length_scale,3,10.2299816007733,9.616205400105674,shape,-0.0016620799221943447,330,0.45151515151515154,0.027156294045386862
length_scale,4,11.038913814326953,10.241957791820013,shape,0.005182935288345844,327,0.6574923547400612,0.024166915922038873
length_scale,5,14.624439662179762,11.04691385699403,shape,0.01524359493740446,329,0.723404255319149,0.03316512947205818
branching_entropy,1,1.7319951248470982,1.4147730206197493,shape,-0.0037563965349778476,331,0.3504531722054381,0.02839699097012941
branching_entropy,2,1.796215140701297,1.732012866191389,shape,0.003086938329798153,330,0.4484848484848485,0.02591148486144507
branching_entropy,3,1.8538383921868513,1.796706343769188,shape,0.009553201042028453,330,0.6424242424242425,0.03056726232873685
branching_entropy,4,1.8968561940643975,1.8538635514598722,shape,0.011157328307665115,330,0.7212121212121212,0.03057471638510066
branching_entropy,5,1.968446938459148,1.8968927752189146,shape,0.010603382398191308,329,0.7872340425531915,0.029453144167667755
length_scale,1,8.94324493313279,6.396929655216146,size_depth,0.01712748133478819,338,0.7011834319526628,0.04405325334169482
length_scale,2,9.599811590329999,8.965973184210347,size_depth,-0.0007784767233217989,326,0.4539877300613497,0.03287790677247603
length_scale,3,10.2299816007733,9.616205400105674,size_depth,0.003519593084762299,330,0.5515151515151515,0.03988500125001001
length_scale,4,11.038913814326953,10.241957791820013,size_depth,0.019250872054018035,327,0.7706422018348624,0.036914784027515295
length_scale,5,14.624439662179762,11.04691385699403,size_depth,0.03884994196028662,329,0.7963525835866262,0.056260063763175695
branching_entropy,1,1.7319951248470982,1.4147730206197493,size_depth,0.0002134383894551044,331,0.5226586102719033,0.036356727760529194
branching_entropy,2,1.796215140701297,1.732012866191389,size_depth,0.006125034716124876,330,0.5303030303030303,0.03560097059495537
branching_entropy,3,1.8538383921868513,1.796706343769188,size_depth,0.015094742205697044,330,0.6606060606060606,0.045150243366179954
branching_entropy,4,1.8968561940643975,1.8538635514598722,size_depth,0.022156476399950352,330,0.6909090909090909,0.051711055313677326
branching_entropy,5,1.968446938459148,1.8968927752189146,size_depth,0.03461588255571661,329,0.8723404255319149,0.04568687163041383
