bh_q_value,feature,loo_omit_label_at_max,loo_omit_label_at_min,loo_rho_max,loo_rho_min,n_tasks,permutation_p_two_sided,spearman_ci95_high,spearman_ci95_low,spearman_rho,target
0.37138143092845355,branching_entropy_mean,task-09,task-00,0.8303030303030303,0.5878787878787879,11,0.02304884755762212,0.9345794392523363,0.1553398058252427,0.6909090909090909,length_only_map_delta
0.37138143092845355,leaf_fraction_mean,task-07,task-09,-0.44242424242424244,-0.6848484848484848,11,0.0815959202039898,0.0805687203791469,-0.8981481481481481,-0.5545454545454546,length_only_map_delta
0.37138143092845355,length_scale_mean,task-03,task-10,0.793939393939394,0.40606060606060607,11,0.08169591520423979,0.9718309859154928,-0.11219512195121951,0.5545454545454546,length_only_map_delta
0.37138143092845355,log_edge_count_mean,task-03,task-10,0.793939393939394,0.40606060606060607,11,0.08169591520423979,0.9718309859154928,-0.11219512195121951,0.5545454545454546,length_only_map_delta
0.37138143092845355,log_node_count_mean,task-03,task-10,0.793939393939394,0.40606060606060607,11,0.08169591520423979,0.9718309859154928,-0.11219512195121951,0.5545454545454546,length_only_map_delta
0.37138143092845355,mean_branching_factor_mean,task-07,task-09,-0.41818181818181815,-0.6484848484848484,11,0.09984500774961252,0.09767441860465118,-0.8693467336683417,-0.5272727272727272,length_only_map_delta
0.37138143092845355,max_branching_factor_std,task-03,task-07,0.696969696969697,0.34545454545454546,11,0.11154442277886106,0.9158878504672896,-0.2727272727272727,0.509090909090909,length_only_map_delta
0.37138143092845355,branching_entropy_std,task-07,task-01,-0.3575757575757576,-0.6242424242424243,11,0.12379381030948453,0.19815668202764974,-0.867298578199052,-0.5,length_only_map_delta
0.455843874472943,leaf_fraction_std,task-03,task-10,0.6121212121212121,0.3090909090909091,11,0.17094145292735363,0.8333333333333334,-0.16431924882629106,0.44545454545454544,length_only_map_delta
0.764084872679443,max_branching_factor_mean,task-03,task-10,0.4909090909090909,0.10303030303030303,11,0.32193390330483473,0.9065420560747662,-0.4285714285714285,0.32727272727272727,length_only_map_delta
0.764084872679443,max_depth_std,task-06,task-00,0.4666666666666667,0.10303030303030303,11,0.36788160591970404,0.8046511627906978,-0.39252336448598124,0.3,length_only_map_delta
0.764084872679443,max_depth_mean,task-04,task-06,-0.15151515151515152,-0.5393939393939394,11,0.3966301684915754,0.3831775700934579,-0.747663551401869,-0.2818181818181818,length_only_map_delta
0.764084872679443,diameter_std,task-03,task-07,0.4303030303030303,0.06666666666666667,11,0.41387930603469825,0.8028169014084506,-0.5023923444976076,0.2727272727272727,length_only_map_delta
0.8251587420628969,mean_branching_factor_std,task-03,task-10,0.3939393939393939,0.01818181818181818,11,0.5005749712514375,0.7596153846153847,-0.44600938967136144,0.22727272727272727,length_only_map_delta
0.8251587420628969,geometry_advantage_mean,task-10,task-06,-0.05454545454545454,-0.4666666666666667,11,0.5157242137893105,0.45283018867924524,-0.8591549295774646,-0.21818181818181817,length_only_map_delta
0.8985300734963252,euclidean_stress_mean,task-10,task-08,0.09090909090909091,-0.3575757575757576,11,0.5990200489975501,0.5576923076923078,-0.7857142857142857,-0.18181818181818182,length_only_map_delta
0.9538111329727632,hyperbolic_stress_std,task-10,task-00,0.1393939393939394,-0.34545454545454546,11,0.6756162191890406,0.6587677725118483,-0.7874396135265701,-0.14545454545454545,length_only_map_delta
0.9896505174741262,geometry_advantage_std,task-04,task-00,0.24848484848484848,-0.15151515151515152,11,0.7977101144942753,0.7115384615384617,-0.7102803738317756,0.09090909090909091,length_only_map_delta
0.9896505174741262,length_scale_std,task-06,task-07,0.12727272727272726,-0.2727272727272727,11,0.8813559322033898,0.5631067961165048,-0.6990291262135923,-0.05454545454545454,length_only_map_delta
0.9896505174741262,log_edge_count_std,task-06,task-07,0.12727272727272726,-0.2727272727272727,11,0.8813559322033898,0.5631067961165048,-0.6990291262135923,-0.05454545454545454,length_only_map_delta
0.9896505174741262,log_node_count_std,task-06,task-07,0.12727272727272726,-0.2727272727272727,11,0.8813559322033898,0.5631067961165048,-0.6990291262135923,-0.05454545454545454,length_only_map_delta
0.9896505174741262,euclidean_stress_std,task-07,task-08,0.3090909090909091,-0.11515151515151516,11,0.9267536623168842,0.7464788732394365,-0.616822429906542,0.03636363636363636,length_only_map_delta
0.9896505174741262,diameter_mean,task-07,task-06,0.10303030303030303,-0.2,11,0.9896505174741262,0.596244131455399,-0.6093023255813954,0.00909090909090909,length_only_map_delta
0.9896505174741262,hyperbolic_stress_mean,task-00,task-08,0.2,-0.21212121212121213,11,0.9892005399730014,0.660377358490566,-0.6542056074766355,-0.00909090909090909,length_only_map_delta
